"","pkg.name","fun.name","arg.types","arg.names"
"16","APML0","EnetLmC","c(""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""double "", ""Eigen::VectorXd "", ""int "", ""int "", ""Eigen::VectorXd "", ""Eigen::VectorXd "", ""int "", ""int "", ""double "", ""int "", ""double "")","c("" X"", "" y"", "" alpha"", "" lambda"", "" nlambda"", "" ilambda"", "" wbeta"", "" wbeta2"", "" p"", "" N0"", "" thresh"", "" maxit"", "" thresh2"")"
"17","APML0","cvEnetLmC","c(""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""double "", ""Eigen::VectorXd "", ""int "", ""Eigen::VectorXd "", ""Eigen::VectorXd "", ""int "", ""int "", ""double "", ""int "", ""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""int "", ""double "")","c("" X"", "" y"", "" alpha"", "" lambda"", "" nlambda"", "" wbeta"", "" wbeta2"", "" N"", "" p"", "" thresh"", "" maxit"", "" XF"", "" yF"", "" NF"", "" thresh2"")"
"18","APML0","NetLmC","c(""Eigen::MatrixXd& "", ""Eigen::VectorXd& "", ""double "", ""Eigen::VectorXd "", ""int "", ""int "", ""Eigen::VectorXd "", ""Eigen::VectorXd "", ""Eigen::SparseMatrix<double>& "", ""Eigen::MatrixXd "", ""Eigen::VectorXi "", ""int "", ""int "", ""double "", ""int "", ""double "")","c("" X"", "" y"", "" alpha"", "" lambda"", "" nlambda"", "" ilambda"", "" wbeta"", "" wbeta2"", "" Omega"", "" loc"", "" nadj"", "" p"", "" N0"", "" thresh"", "" maxit"", "" thresh2"")"
"19","APML0","cvNetLmC","c(""Eigen::MatrixXd& "", ""Eigen::VectorXd& "", ""double "", ""Eigen::VectorXd "", ""int "", ""Eigen::VectorXd "", ""Eigen::VectorXd "", ""Eigen::SparseMatrix<double>& "", ""Eigen::MatrixXd "", ""Eigen::VectorXi "", ""int "", ""int "", ""double "", ""int "", ""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""int "", ""double "")","c("" X"", "" y"", "" alpha"", "" lambda"", "" nlambda"", "" wbeta"", "" wbeta2"", "" Omega"", "" loc"", "" nadj"", "" N"", "" p"", "" thresh"", "" maxit"", "" XF"", "" yF"", "" NF"", "" thresh2"")"
"20","APML0","maxLambdaCoxC","c(""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""int "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""int "", ""double "", ""Eigen::VectorXd "", ""int "", ""int "")","c("" X"", "" tevent"", "" N"", "" nevent"", "" nevent1"", "" loc1"", "" n"", "" alpha"", "" wbeta"", "" N0"", "" p"")"
"21","APML0","pletaCm","c(""Eigen::VectorXd& "", ""Eigen::VectorXd& "", ""Eigen::VectorXi& "", ""Eigen::VectorXi& "", ""Eigen::VectorXi& "", ""int& "", ""int& "", ""int& "")","c("" xb"", "" exb"", "" nevent"", "" nevent1"", "" loc1"", "" n"", "" ifast"", "" itwo"")"
"22","APML0","cvTrimCoxC","c(""Eigen::VectorXd "", ""int "", ""int "", ""Eigen::VectorXi "", ""Eigen::MatrixXd "", ""int "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""int "", ""Eigen::MatrixXd "", ""int "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""int "", ""int "", ""int "")","c("" beta"", "" nn"", "" nn2"", "" loco"", "" XF"", "" NF"", "" neventF"", "" nevent1F"", "" loc1F"", "" nF"", "" X"", "" N"", "" nevent"", "" nevent1"", "" loc1"", "" n"", "" ifast"", "" itwo"")"
"23","APML0","EnetCoxC","c(""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""double "", ""Eigen::VectorXd "", ""int "", ""int "", ""Eigen::VectorXd "", ""Eigen::VectorXd "", ""int "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""int "", ""int "", ""int "", ""double "", ""int "", ""int "")","c("" X"", "" tevent"", "" alpha"", "" lambda"", "" nlambda"", "" ilambda"", "" wbeta"", "" wbeta2"", "" N"", "" nevent"", "" nevent1"", "" loc1"", "" n"", "" p"", "" N0"", "" thresh"", "" maxit"", "" ifast"")"
"24","APML0","cvEnetCoxC","c(""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""double "", ""Eigen::VectorXd "", ""int "", ""Eigen::VectorXd "", ""Eigen::VectorXd "", ""int "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""int "", ""int "", ""int "", ""double "", ""int "", ""int "", ""Eigen::MatrixXd "", ""int "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""int "")","c("" X"", "" tevent"", "" alpha"", "" lambda"", "" nlambda"", "" wbeta"", "" wbeta2"", "" N"", "" nevent"", "" nevent1"", "" loc1"", "" n"", "" p"", "" N0"", "" thresh"", "" maxit"", "" ifast"", "" XF"", "" NF"", "" neventF"", "" nevent1F"", "" loc1F"", "" nF"")"
"25","APML0","NetCoxC","c(""Eigen::MatrixXd& "", ""Eigen::VectorXd "", ""double "", ""Eigen::VectorXd "", ""int "", ""int "", ""Eigen::VectorXd "", ""Eigen::VectorXd "", ""Eigen::SparseMatrix<double>& "", ""Eigen::MatrixXd "", ""Eigen::VectorXi "", ""int "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""int "", ""int "", ""int "", ""double "", ""int "", ""int "")","c("" X"", "" tevent"", "" alpha"", "" lambda"", "" nlambda"", "" ilambda"", "" wbeta"", "" wbeta2"", "" Omega"", "" loc"", "" nadj"", "" N"", "" nevent"", "" nevent1"", "" loc1"", "" n"", "" p"", "" N0"", "" thresh"", "" maxit"", "" ifast"")"
"26","APML0","cvNetCoxC","c(""Eigen::MatrixXd& "", ""Eigen::VectorXd "", ""double "", ""Eigen::VectorXd "", ""int "", ""Eigen::VectorXd "", ""Eigen::VectorXd "", ""Eigen::SparseMatrix<double>& "", ""Eigen::MatrixXd "", ""Eigen::VectorXi "", ""int "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""int "", ""int "", ""int "", ""double "", ""int "", ""int "", ""Eigen::MatrixXd "", ""int "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""int "")","c("" X"", "" tevent"", "" alpha"", "" lambda"", "" nlambda"", "" wbeta"", "" wbeta2"", "" Omega"", "" loc"", "" nadj"", "" N"", "" nevent"", "" nevent1"", "" loc1"", "" n"", "" p"", "" N0"", "" thresh"", "" maxit"", "" ifast"", "" XF"", "" NF"", "" neventF"", "" nevent1F"", "" loc1F"", "" nF"")"
"27","SCPME","CV_ADMMc","c(""const arma::mat& "", ""const arma::mat& "", ""const arma::mat& "", ""const arma::mat& "", ""const arma::mat& "", ""const arma::mat& "", ""const arma::colvec& "", ""const double "", ""bool "", ""double "", ""double "", ""const double "", ""const double "", ""const int "", ""std::string "", ""const double "", ""const double "", ""int "", ""int "", ""int "", ""std::string "", ""std::string "", ""std::string "")","c("" X"", "" S"", "" Y"", "" A"", "" B"", "" C"", "" lam"", "" alpha"", "" path"", "" tau"", "" rho"", "" mu"", "" tau_rho"", "" iter_rho"", "" crit"", "" tol_abs"", "" tol_rel"", "" maxit"", "" adjmaxit"", "" K"", "" crit_cv"", "" start"", "" trace"")"
"28","ADMMsigma","CV_RIDGEc","c(""const arma::mat& "", ""const arma::mat& "", ""const arma::colvec& "", ""bool "", ""int "", ""std::string "")","c("" X"", "" S"", "" lam"", "" path"", "" K"", "" trace"")"
"29","SCPME","CVP_ADMMc","c(""const arma::mat& "", ""const arma::mat& "", ""const arma::mat& "", ""const arma::mat& "", ""const arma::mat& "", ""const arma::mat& "", ""const arma::mat& "", ""const arma::colvec& "", ""const double "", ""const double "", ""double "", ""const double "", ""const double "", ""const int "", ""std::string "", ""const double "", ""const double "", ""int "", ""int "", ""std::string "", ""std::string "", ""std::string "")","c("" X_train"", "" X_valid"", "" Y_train"", "" Y_valid"", "" A"", "" B"", "" C"", "" lam"", "" alpha"", "" tau"", "" rho"", "" mu"", "" tau_rho"", "" iter_rho"", "" crit"", "" tol_abs"", "" tol_rel"", "" maxit"", "" adjmaxit"", "" crit_cv"", "" start"", "" trace"")"
"30","ADMMsigma","CVP_RIDGEc","c(""const int "", ""const arma::mat& "", ""const arma::mat& "", ""const arma::colvec& "", ""std::string "")","c("" n"", "" S_train"", "" S_valid"", "" lam"", "" trace"")"
"31","SCPME","RIDGEc","c(""const arma::mat& "", ""double "")","c("" S"", "" lam"")"
"32","SCPME","ADMMc","c(""const arma::mat& "", ""const arma::mat& "", ""const arma::mat& "", ""const arma::mat& "", ""const arma::mat& "", ""const arma::mat& "", ""const arma::mat& "", ""const double "", ""const double "", ""const double "", ""double "", ""const double "", ""const double "", ""const int "", ""std::string "", ""const double "", ""const double "", ""const int "")","c("" S"", "" A"", "" B"", "" C"", "" initOmega"", "" initZ"", "" initY"", "" lam"", "" alpha"", "" tau"", "" rho"", "" mu"", "" tau_rho"", "" iter_rho"", "" crit"", "" tol_abs"", "" tol_rel"", "" maxit"")"
"33","APML0","cvHardLmC","c(""Eigen::VectorXd "", ""Eigen::VectorXd "", ""Eigen::VectorXd "", ""Eigen::VectorXd "", ""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""int "", ""int "", ""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""int "")","c("" beta"", "" betaSTD"", "" cut"", "" wbeta"", "" X"", "" y"", "" N"", "" p"", "" XF"", "" yF"", "" NF"")"
"34","APML0","cvHardCoxC","c(""Eigen::VectorXd "", ""Eigen::VectorXd "", ""Eigen::VectorXd "", ""Eigen::VectorXd "", ""int "", ""Eigen::MatrixXd "", ""int "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""int "", ""Eigen::MatrixXd "", ""int "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""Eigen::VectorXi "", ""int "", ""int "", ""int "")","c("" beta"", "" betaSTD"", "" cut"", "" wbeta"", "" p"", "" XF"", "" NF"", "" neventF"", "" nevent1F"", "" loc1F"", "" nF"", "" X"", "" N"", "" nevent"", "" nevent1"", "" loc1"", "" n"", "" ifast"", "" itwo"")"
"35","APML0","maxLambdaLogC","c(""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""double "", ""Eigen::VectorXd "", ""int "", ""int "")","c("" X"", "" Z"", "" alpha"", "" wbeta"", "" N0"", "" p"")"
"36","APML0","cvTrimLogC","c(""Eigen::VectorXd "", ""int "", ""int "", ""Eigen::VectorXi "", ""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""int "", ""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""int "", ""double "", ""int "", ""double "")","c("" beta"", "" nn"", "" nn2"", "" loco"", "" X"", "" y"", "" N"", "" XF"", "" yF"", "" NF"", "" thresh"", "" maxit"", "" threshP"")"
"37","APML0","cvHardLogC","c(""Eigen::VectorXd "", ""Eigen::VectorXd "", ""Eigen::VectorXd "", ""Eigen::VectorXd "", ""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""int "", ""int "", ""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""int "", ""double "", ""int "", ""double "")","c("" beta"", "" betaSTD"", "" cut"", "" wbeta"", "" X"", "" y"", "" N"", "" p"", "" XF"", "" yF"", "" NF"", "" thresh"", "" maxit"", "" threshP"")"
"38","APML0","EnetLogC","c(""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""double "", ""Eigen::VectorXd "", ""int "", ""int "", ""Eigen::ArrayXd "", ""Eigen::ArrayXd "", ""int "", ""int "", ""double "", ""int "", ""double "")","c("" X"", "" y"", "" alpha"", "" lambda"", "" nlambda"", "" ilambda"", "" wbeta"", "" wbetai"", "" p"", "" N0"", "" thresh"", "" maxit"", "" threshP"")"
"39","APML0","cvEnetLogC","c(""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""double "", ""Eigen::VectorXd "", ""int "", ""Eigen::ArrayXd "", ""Eigen::ArrayXd "", ""int "", ""int "", ""double "", ""int "", ""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""int "", ""double "")","c("" X"", "" y"", "" alpha"", "" lambda"", "" nlambda"", "" wbeta"", "" wbetai"", "" p"", "" N0"", "" thresh"", "" maxit"", "" XF"", "" yF"", "" NF"", "" threshP"")"
"40","APML0","NetLogC","c(""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""double "", ""Eigen::VectorXd "", ""int "", ""int "", ""Eigen::ArrayXd "", ""Eigen::ArrayXd "", ""Eigen::SparseMatrix<double>& "", ""Eigen::MatrixXd "", ""Eigen::VectorXi "", ""int "", ""int "", ""double "", ""int "", ""double "")","c("" X"", "" y"", "" alpha"", "" lambda"", "" nlambda"", "" ilambda"", "" wbeta"", "" wbetai"", "" Omega"", "" loc"", "" nadj"", "" p"", "" N0"", "" thresh"", "" maxit"", "" threshP"")"
"41","APML0","cvNetLogC","c(""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""double "", ""Eigen::VectorXd "", ""int "", ""Eigen::ArrayXd "", ""Eigen::ArrayXd "", ""Eigen::SparseMatrix<double>& "", ""Eigen::MatrixXd "", ""Eigen::VectorXi "", ""int "", ""int "", ""double "", ""int "", ""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""int "", ""double "")","c("" X"", "" y"", "" alpha"", "" lambda"", "" nlambda"", "" wbeta"", "" wbetai"", "" Omega"", "" loc"", "" nadj"", "" p"", "" N0"", "" thresh"", "" maxit"", "" XF"", "" yF"", "" NF"", "" threshP"")"
"42","ARCokrig","buildcov_deriv","c(""Eigen::VectorXd& "", ""arma::cube& "", ""int "", ""const String& "", ""const bool& "")","c("" beta"", "" dist"", "" l"", "" covmodel"", "" nugget"")"
"43","ARCokrig","log_objective_prior","c(""Eigen::VectorXd& "", ""arma::cube& "", ""Eigen::MatrixXd& "", ""Eigen::MatrixXd& "", ""const String& "", ""const bool& "", ""const String& "")","c("" beta"", "" dist"", "" RInv"", "" X"", "" covmodel"", "" nugget"", "" prior"")"
"44","ARCokrig","buildcov","c(""Eigen::VectorXd& "", ""arma::cube& "", ""const String& "", ""const bool& "")","c("" phi"", "" dist"", "" covmodel"", "" nugget"")"
"45","ARCokrig","compute_distance","c(""arma::mat& "", ""arma::mat& "")","c("" input1"", "" input2"")"
"46","ARCokrig","sample_mvt","c(""const arma::mat& "", ""const arma::mat& "", ""const arma::vec& "", ""double "", ""int "")","c("" mu"", "" L"", "" sigma"", "" df"", "" nsample"")"
"47","ARCokrig","compute_S","c(""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "")","c("" output"", "" Q"")"
"48","ARCokrig","compute_Svec","c(""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "")","c("" output"", "" Q"")"
"49","ARCokrig","compute_S_sum","c(""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "")","c("" y_t"", "" H_t"", "" y_t1"", "" RInv"", "" K"")"
"50","ARCokrig","compute_prediction","c(""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "")","c("" y_t"", "" Ht"", "" y_t1"", "" yhat_t1"", "" vhat_t1"", "" RInv"", "" Hnew"", "" Wnew_t1"", "" Rmo"", "" R_sk"")"
"51","ARCokrig","conditional_simulation","c(""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "")","c("" y_t"", "" Ht"", "" y_t1"", "" RInv"", "" Hnew"", "" Wnew_t1"", "" Rmo"", "" R_sk"")"
"52","ARCokrig","compute_param","c(""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "", ""const Eigen::Map<Eigen::MatrixXd>& "")","c("" y_t"", "" Ht"", "" y_t1"", "" RInv"")"
"53","ASPBay","MHcpp","c(""int "", ""int "", ""IntegerVector "", ""IntegerVector "", ""double "", ""double "", ""arma::rowvec "", ""double "")","c("" N"", "" thin"", "" S"", "" R"", "" sd_freq"", "" sd_psi"", "" p0"", "" psi_prior"")"
"54","AhoCorasickTrie","AhoCorasickSearchList","c(""StringVector "", ""List "", ""std::string "", ""bool "", ""int "")","c("" keywords"", "" textList"", "" alphabet"", "" groupByKeyword"", "" iterationFeedback"")"
"55","AhoCorasickTrie","AhoCorasickSearch","c(""StringVector "", ""StringVector "", ""std::string "", ""bool "", ""int "")","c("" keywords"", "" text"", "" alphabet"", "" groupByKeyword"", "" iterationFeedback"")"
"56","AlphaSimR","callFastRRBLUP","c(""arma::vec "", ""arma::field<arma::Cube<unsigned char> >& "", ""arma::Col<int>& "", ""arma::uvec "", ""double "", ""double "", ""arma::uword "", ""int "")","c("" y"", "" geno"", "" lociPerChr"", "" lociLoc"", "" Vu"", "" Ve"", "" maxIter"", "" nThreads"")"
"57","AlphaSimR","callRRBLUP","c(""arma::mat "", ""arma::uvec "", ""arma::vec "", ""arma::field<arma::Cube<unsigned char> >& "", ""arma::Col<int>& "", ""arma::uvec "", ""bool "", ""int "")","c("" y"", "" x"", "" reps"", "" geno"", "" lociPerChr"", "" lociLoc"", "" useReps"", "" nThreads"")"
"58","AlphaSimR","callRRBLUP2","c(""arma::mat "", ""arma::uvec "", ""arma::vec "", ""arma::field<arma::Cube<unsigned char> >& "", ""arma::Col<int>& "", ""arma::uvec "", ""double "", ""double "", ""double "", ""int "", ""bool "", ""bool "", ""int "")","c("" y"", "" x"", "" reps"", "" geno"", "" lociPerChr"", "" lociLoc"", "" Vu"", "" Ve"", "" tol"", "" maxIter"", "" useEM"", "" useReps"", "" nThreads"")"
"59","AlphaSimR","callRRBLUP_D","c(""arma::mat "", ""arma::uvec "", ""arma::vec "", ""arma::field<arma::Cube<unsigned char> >& "", ""arma::Col<int>& "", ""arma::uvec "", ""int "", ""bool "", ""int "")","c("" y"", "" x"", "" reps"", "" geno"", "" lociPerChr"", "" lociLoc"", "" maxIter"", "" useReps"", "" nThreads"")"
"60","AlphaSimR","callRRBLUP_D2","c(""arma::mat "", ""arma::uvec "", ""arma::vec "", ""arma::field<arma::Cube<unsigned char> >& "", ""arma::Col<int>& "", ""arma::uvec "", ""int "", ""double "", ""double "", ""double "", ""double "", ""bool "", ""bool "", ""int "")","c("" y"", "" x"", "" reps"", "" geno"", "" lociPerChr"", "" lociLoc"", "" maxIter"", "" Va"", "" Vd"", "" Ve"", "" tol"", "" useEM"", "" useReps"", "" nThreads"")"
"61","AlphaSimR","callRRBLUP_MV","c(""arma::mat "", ""arma::uvec "", ""arma::vec "", ""arma::field<arma::Cube<unsigned char> >& "", ""arma::Col<int>& "", ""arma::uvec "", ""int "", ""bool "", ""int "")","c("" Y"", "" x"", "" reps"", "" geno"", "" lociPerChr"", "" lociLoc"", "" maxIter"", "" useReps"", "" nThreads"")"
"62","AlphaSimR","callRRBLUP_GCA","c(""arma::mat "", ""arma::uvec "", ""arma::vec "", ""arma::field<arma::Cube<unsigned char> >& "", ""arma::Col<int>& "", ""arma::uvec "", ""int "", ""bool "", ""int "")","c("" y"", "" x"", "" reps"", "" geno"", "" lociPerChr"", "" lociLoc"", "" maxIter"", "" useReps"", "" nThreads"")"
"63","AlphaSimR","callRRBLUP_GCA2","c(""arma::mat "", ""arma::uvec "", ""arma::vec "", ""arma::field<arma::Cube<unsigned char> >& "", ""arma::Col<int>& "", ""arma::uvec "", ""int "", ""double "", ""double "", ""double "", ""double "", ""bool "", ""bool "", ""int "")","c("" y"", "" x"", "" reps"", "" geno"", "" lociPerChr"", "" lociLoc"", "" maxIter"", "" Vu1"", "" Vu2"", "" Ve"", "" tol"", "" useEM"", "" useReps"", "" nThreads"")"
"64","AlphaSimR","callRRBLUP_SCA","c(""arma::mat "", ""arma::uvec "", ""arma::vec "", ""arma::field<arma::Cube<unsigned char> >& "", ""arma::Col<int>& "", ""arma::uvec "", ""int "", ""bool "", ""int "")","c("" y"", "" x"", "" reps"", "" geno"", "" lociPerChr"", "" lociLoc"", "" maxIter"", "" useReps"", "" nThreads"")"
"65","AlphaSimR","callRRBLUP_SCA2","c(""arma::mat "", ""arma::uvec "", ""arma::vec "", ""arma::field<arma::Cube<unsigned char> >& "", ""arma::Col<int>& "", ""arma::uvec "", ""int "", ""double "", ""double "", ""double "", ""double "", ""double "", ""bool "", ""bool "", ""int "")","c("" y"", "" x"", "" reps"", "" geno"", "" lociPerChr"", "" lociLoc"", "" maxIter"", "" Vu1"", "" Vu2"", "" Vu3"", "" Ve"", "" tol"", "" useEM"", "" useReps"", "" nThreads"")"
"66","AlphaSimR","writeASGenotypes","c(""const arma::Cube<unsigned char>& "", ""const arma::field<arma::uvec>& "", ""const arma::uvec& "", ""const arma::vec& "", ""const std::vector<std::string>& "", ""const char "", ""const std::string "")","c("" g"", "" locations"", "" allLocations"", "" snpchips"", "" names"", "" missing"", "" fname"")"
"67","AlphaSimR","writeASHaplotypes","c(""const arma::Cube<unsigned char>& "", ""const arma::field<arma::uvec>& "", ""const arma::uvec& "", ""const arma::vec& "", ""const std::vector<std::string>& "", ""const char "", ""const std::string "")","c("" g"", "" locations"", "" allLocations"", "" snpchips"", "" names"", "" missing"", "" fname"")"
"68","AlphaSimR","calcGenParam","c(""const S4& "", ""const S4& "", ""int "")","c("" trait"", "" pop"", "" nThreads"")"
"69","AlphaSimR","getGeno","c(""const arma::field<arma::Cube<unsigned char> >& "", ""const arma::Col<int>& "", ""arma::uvec "", ""int "")","c("" geno"", "" lociPerChr"", "" lociLoc"", "" nThreads"")"
"70","AlphaSimR","getMaternalGeno","c(""const arma::field<arma::Cube<unsigned char> >& "", ""const arma::Col<int>& "", ""arma::uvec "", ""int "")","c("" geno"", "" lociPerChr"", "" lociLoc"", "" nThreads"")"
"71","AlphaSimR","getPaternalGeno","c(""const arma::field<arma::Cube<unsigned char> >& "", ""const arma::Col<int>& "", ""arma::uvec "", ""int "")","c("" geno"", "" lociPerChr"", "" lociLoc"", "" nThreads"")"
"72","AlphaSimR","getHaplo","c(""const arma::field<arma::Cube<unsigned char> >& "", ""const arma::Col<int>& "", ""arma::uvec "", ""int "")","c("" geno"", "" lociPerChr"", "" lociLoc"", "" nThreads"")"
"73","AlphaSimR","getOneHaplo","c(""const arma::field<arma::Cube<unsigned char> >& "", ""const arma::Col<int>& "", ""arma::uvec "", ""int "", ""int "")","c("" geno"", "" lociPerChr"", "" lociLoc"", "" haplo"", "" nThreads"")"
"74","AlphaSimR","getIbdHaplo","c(""const List& "", ""const IntegerVector& "", ""const IntegerVector& "")","c("" ibdRecHist"", "" individuals"", "" nLociPerChr"")"
"75","AlphaSimR","writeGeno","c(""const arma::field<arma::Cube<unsigned char> >& "", ""const arma::Col<int>& "", ""arma::uvec "", ""String "", ""int "")","c("" geno"", "" lociPerChr"", "" lociLoc"", "" filePath"", "" nThreads"")"
"76","AlphaSimR","writeOneHaplo","c(""const arma::field<arma::Cube<unsigned char> >& "", ""const arma::Col<int>& "", ""arma::uvec "", ""int "", ""String "", ""int "")","c("" geno"", "" lociPerChr"", "" lociLoc"", "" haplo"", "" filePath"", "" nThreads"")"
