Version,index,questions_original,question_original,questions,question,choices_original,X.choice.CorrectChoice._original,choices,choice,CorrectChoice,ExamAnswerCount
0,83,2,13,2,21,1,3,1,3,,1
0,84,2,13,2,21,1,4,1,4,,1
0,85,2,14,2,22,1,1,1,1,,0
0,86,2,14,2,22,1,2,1,2,,1
0,87,2,14,2,22,1,3,1,3,,0
0,88,2,14,2,22,1,4,1,,4,12
0,89,2,15,2,23,1,1,1,1,,1
0,90,2,15,2,23,1,2,1,2,,1
0,91,2,15,2,23,1,3,1,3,,3
0,92,2,15,2,23,1,4,1,,4,5
0,93,2,16,2,24,1,1,1,,1,16
0,94,2,16,2,24,1,2,1,2,,0
0,95,2,16,2,24,1,3,1,3,,0
0,96,2,16,2,24,1,4,1,4,,0
0,97,2,17,2,25,1,1,1,1,,1
0,98,2,17,2,25,1,2,1,2,,4
0,99,2,17,2,25,1,3,1,3,,2
0,100,2,17,2,25,1,4,1,,4,7
0,101,2,18,2,26,1,1,1,1,,1
0,102,2,18,2,26,1,2,1,2,,1
0,103,2,18,2,26,1,3,1,3,,1
0,104,2,18,2,26,1,4,1,,4,9
0,105,2,19,2,27,1,1,1,1,,2
0,106,2,19,2,27,1,2,1,2,,3
0,107,2,19,2,27,1,3,1,3,,1
0,108,2,19,2,27,1,4,1,,4,13
0,109,2,20,2,28,1,1,1,1,,1
0,110,2,20,2,28,1,2,1,2,,1
0,111,2,20,2,28,1,3,1,3,,0
0,112,2,20,2,28,1,4,1,,4,12
0,117,3,2,3,30,1,1,1,1,,7
0,118,3,2,3,30,1,2,1,2,,3
0,119,3,2,3,30,1,3,1,3,,8
0,120,3,2,3,30,1,4,1,,4,7
0,125,3,4,3,32,1,1,1,1,,3
0,126,3,4,3,32,1,2,1,2,,13
0,127,3,4,3,32,1,3,1,3,,1
0,128,3,4,3,32,1,4,1,,4,9
0,129,3,5,3,33,1,1,1,1,,7
0,130,3,5,3,33,1,2,1,,2,10
0,131,3,5,3,33,1,3,1,3,,5
0,132,3,5,3,33,1,4,1,4,,0
0,133,3,6,3,34,1,1,1,1,,2
0,134,3,6,3,34,1,2,1,2,,8
0,135,3,6,3,34,1,3,1,3,,3
0,136,3,6,3,34,1,4,1,,4,7
0,137,3,7,3,35,1,1,1,1,,3
0,138,3,7,3,35,1,2,1,2,,2
0,139,3,7,3,35,1,3,1,3,,0
0,140,3,7,3,35,1,4,1,,4,7
0,141,4,1,4,36,1,1,1,1,,5
0,142,4,1,4,36,1,2,1,2,,6
0,143,4,1,4,36,1,3,1,3,,7
0,144,4,1,4,36,1,4,1,,4,10
0,145,4,2,4,37,1,1,1,1,,13
0,146,4,2,4,37,1,2,1,2,2,3
0,147,4,2,4,37,1,3,1,3,,4
0,148,4,2,4,37,1,4,1,4,,2
0,149,4,3,4,38,1,1,1,1,,12
0,150,4,3,4,38,1,2,1,2,,3
0,151,4,3,4,38,1,3,1,3,,5
0,152,4,3,4,38,1,4,1,,4,7
0,153,4,4,4,39,1,1,1,1,,2
0,154,4,4,4,39,1,2,1,2,,2
0,155,4,4,4,39,1,3,1,,3,3
0,156,4,4,4,39,1,4,1,4,,1
0,157,4,5,4,40,1,1,1,1,,3
0,158,4,5,4,40,1,2,1,2,,4
0,159,4,5,4,40,1,3,1,3,,0
0,160,4,5,4,40,1,4,1,,4,15
0,161,4,6,4,41,1,1,1,1,,6
0,162,4,6,4,41,1,2,1,2,,1
0,163,4,6,4,41,1,3,1,3,,3
0,164,4,6,4,41,1,4,1,,4,14
0,169,5,1,5,43,1,1,1,1,,2
0,170,5,1,5,43,1,2,1,2,,13
0,171,5,1,5,43,1,3,1,3,,6
0,172,5,1,5,43,1,4,1,,4,28
