<Phenotype>	trait1	trait2	trait3
A619	36	36.56	37.01
A632	60	61.72	61.99
A634	54	54.03	56.59
A635	37	36.81	36.63
A654	39	40.13	39.75
A659	46.5	49.31	48.66
A661	51.5	51.63	51.39
A679	65	65.7	63.47
A680	68	68.22	68.06
A682	47	48.79	47.03
AB28A	73.5	73	74.55
B10	74	74.57	74.6
B103	37	37.38	38.23
B104	56.25	56.59	56.83
B105	67.5	67.69	68.87
B109	67	65.43	67.63
B115	68	70.17	70.19
B14A	57	58.53	57.26
B164	66	67.1	67.29
B2	39.5	41.87	39.62
B37	72.5	75.08	73.71
R4	48	48.6	48.95
SC213R	67	68.32	66.32
SC357	55.5	54.86	56.36
SC55	128	128.12	130.18
SD40	46.5	46.03	48.18
SD44	39	40.17	40.14
T232	73.5	74.24	73.31
T234	63.08	63.31	65.25
T8	87.75	88.54	88.83
TX303	102	101.65	102.55
TX601	87.63	88.62	90.27
TZI10	81	81.28	81.23
TZI11	75.5	76.12	76.8
TZI16	76.75	78.18	79.03
TZI18	79.38	80.87	80.98
TZI25	82	82.95	82.69
TZI8	89.5	89.84	90.08
TZI9	79	81.44	80.36
B84	72	72.23	73.51
B97	53	54.79	54.02
C103	52.5	54.14	54.82
C123	32	34	32.93
C49	22	22.65	22.3
C49A	22.5	24.44	24.04
CH701-30	61	59.88	59.8
CH9	41.5	43.76	42.89
CI187-2	62.63	62.62	64.13
CI21E	64	64.59	64.78
CI28A	72.5	74.58	72.38
CI31A	74	73.65	74.61
CI3A	66.5	67.93	69.05
CI44	57	58.18	57.26
CI64	64.5	63.82	63.17
CI66	47	46.45	48.81
CI7	84.67	87.01	85.17
CI90C	63.5	62.58	63.99
CI91B	49	49.96	48.78
CM105	31.5	31.77	32.48
CM174	34.5	36.02	36.2
CM37	24	26.11	24.41
