<PopStr>			
<ID>	Q1	Q2	Q3
F44	0.018	0.98	0.002
F6	0.02	0.979	0.001
F7	0.24	0.734	0.026
GA209	0.779	0.218	0.003
GT112	0.006	0.923	0.071
H105W	0.001	0.461	0.538
H49	0.002	0.534	0.464
H84	0.026	0.421	0.553
H91	0.01	0.62	0.37
H95	0.005	0.745	0.25
H99	0.07	0.608	0.322
HI27	0.004	0.979	0.017
HY	0.008	0.839	0.153
I137TN	0.969	0.029	0.002
I205	0.753	0.209	0.038
K148	0.002	0.995	0.003
K4	0.714	0.281	0.005
K55	0.997	0.002	0.001
K64	0.001	0.898	0.101
KI11	0.001	0.997	0.002
KI14	0.207	0.019	0.774
KI2021	0.079	0.898	0.023
KI21	0.002	0.539	0.459
KI3	0.23	0.767	0.003
KI43	0.087	0.886	0.027
KI44	0.11	0.873	0.017
KY21	0.01	0.98	0.01
KY226	0.033	0.965	0.002
KY228	0.003	0.017	0.98
L317	0.003	0.003	0.994
L578	0.005	0.002	0.993
M14	0.004	0.005	0.991
M162W	0.001	0.393	0.606
M37W	0.001	0.002	0.997
MEF156-55-2	0.029	0.048	0.923
MO17	0.001	0.018	0.981
MO18W	0.008	0.859	0.133
MO1W	0.011	0.732	0.257
MO24W	0.134	0.709	0.157
MO44	0.001	0.99	0.009
MO45	0.007	0.297	0.696
MO46	0.012	0.849	0.139
MO47	0.002	0.996	0.002
MOG	0.012	0.404	0.584
MP339	0.007	0.854	0.139
MS1334	0.001	0.998	0.001
MS153	0.011	0.307	0.682
MS71	0.004	0.828	0.168
MT42	0.108	0.727	0.165
N192	0.002	0.996	0.002
N28HT	0.252	0.516	0.232
N6	0.152	0.838	0.01
N7A	0.18	0.624	0.196
NC222	0.002	0.996	0.002
NC230	0.102	0.641	0.257
NC232	0.002	0.884	0.114
NC236	0.063	0.865	0.072
NC238	0.002	0.997	0.001
NC250	0.004	0.765	0.231
NC258	0.998	0.001	0.001
NC260	0.551	0.447	0.002
NC262	0.017	0.98	0.003
NC264	0.494	0.503	0.003
NC290A	0.004	0.874	0.122
NC294	0.004	0.994	0.002
NC296	0.068	0.839	0.093
NC296A	0.023	0.974	0.003
NC298	0.004	0.989	0.007
NC300	0.941	0.057	0.002
NC302	0.001	0.997	0.002
NC304	0.005	0.992	0.003
NC306	0.007	0.991	0.002
NC310	0.015	0.018	0.967
NC314	0.998	0.001	0.001
NC318	0.015	0.984	0.001
NC320	0.999	0.001	1.10E-16
NC324	0.998	0.001	0.001
NC326	0.002	0.001	0.997
NC328	0.002	0.001	0.997
NC33	0.001	0.001	0.998
NC336	0.002	0.003	0.995
NC338	0.002	0.003	0.995
NC340	0.001	0.002	0.997
NC342	0.998	0.001	0.001
NC344	0.998	0.001	0.001
NC346	0.999	0.001	1.10E-16
NC348	0.998	0.001	0.001
NC350	0.998	0.001	0.001
NC352	0.002	0.032	0.966
NC354	0.004	0.005	0.991
NC356	0.996	0.001	0.003
NC358	0.999	0.001	1.10E-16
NC360	0.998	0.001	0.001
NC362	0.998	0.001	0.001
NC364	0.129	0.862	0.009
NC366	0.999	0.001	1.10E-16
NC368	0.013	0.017	0.97
ND246	0.002	0.022	0.976
OH40B	0.002	0.001	0.997
OH43	0.002	0.003	0.995
OH43E	0.009	0.004	0.987
OH603	0.005	0.994	0.001
OH7B	0.002	0.997	0.001
OS420	0.002	0.001	0.997
PA762	0.001	0.001	0.998
PA875	0.003	0.002	0.995
PA880	0.003	0.001	0.996
PA91	0.01	0.001	0.989
R109B	0.001	0.031	0.968
R168	0.001	0.143	0.856
R177	0.001	0.475	0.524
R229	0.002	0.54	0.458
R4	0.002	0.507	0.491
SC213R	0.018	0.467	0.515
SC357	0.996	0.003	0.001
SC55	0.003	0.003	0.994
SD40	0.998	0.001	0.001
SD44	0.004	0.76	0.236
T232	0.002	0.996	0.002
T234	0.001	0.998	0.001
T8	0.002	0.997	0.001
TX303	0.002	0.669	0.329
TX601	0.031	0.967	0.002
TZI10	0.016	0.983	0.001
TZI11	0.001	0.998	0.001
TZI16	0.002	0.979	0.019
TZI18	0.002	0.993	0.005
TZI25	0.001	0.997	0.002
TZI8	0.003	0.007	0.99
TZI9	0.113	0.855	0.032
U267Y	0.002	0.996	0.002
VA102	0.122	0.875	0.003
VA14	0.991	0.002	0.007
VA17	0.019	0.979	0.002
VA22	0.002	0.579	0.419
VA26	0.003	0.622	0.375
VA35	0.046	0.626	0.328
VA59	0.417	0.581	0.002
VA85	0.006	0.993	0.001
VA99	0.14	0.459	0.401
VAW6	0.003	0.985	0.012
W117HT	0.003	0.989	0.008
W153R	0.065	0.36	0.575
W182B	0.003	0.004	0.993
W22	0.003	0.005	0.992
W64A	0.002	0.184	0.814
WD	0.248	0.351	0.401
WF9	0.002	0.003	0.995
