Subject	Comp	RT	Error
1	incomp	384.625071	0
1	comp	468.181764	0
1	comp	351.360083	0
1	incomp	434.437531	0
1	incomp	367.983054	0
1	comp	334.626522	0
1	incomp	318.023349	1
1	incomp	484.869018	0
1	comp	368.100441	0
1	incomp	351.344746	0
1	incomp	368.041097	0
1	comp	284.571287	0
1	comp	368.051279	0
1	incomp	368.059095	0
1	comp	351.346875	0
1	incomp	351.38535	1
1	incomp	418.06672	0
1	comp	301.2586	0
1	comp	368.012117	0
1	comp	418.101586	0
1	incomp	484.803707	0
1	incomp	418.057524	0
1	comp	468.200254	0
1	comp	368.011391	0
1	incomp	751.792172	0
1	incomp	434.660349	0
1	incomp	401.389876	0
1	comp	301.282127	0
1	comp	284.562349	0
1	incomp	351.353847	0
1	comp	401.397352	0
1	comp	317.975286	0
1	comp	368.065584	0
1	comp	451.465279	0
1	comp	384.768789	0
1	incomp	368.008097	0
1	incomp	401.352811	0
1	incomp	368.061054	0
1	incomp	484.801209	0
1	comp	384.701386	0
1	incomp	517.999873	0
1	incomp	418.090106	0
1	incomp	367.69289	0
1	comp	284.601809	0
1	comp	351.351534	0
1	incomp	418.17657	0
1	comp	284.553143	0
1	comp	351.301597	1
1	incomp	401.41874	0
1	comp	334.665813	0
1	incomp	367.997935	0
1	incomp	368.024422	0
1	incomp	401.301888	0
1	incomp	367.983393	0
1	comp	368.047611	0
1	comp	351.273528	1
1	comp	317.863165	0
1	comp	368.043624	0
1	incomp	401.44416	0
1	comp	418.068352	0
1	incomp	351.347624	0
1	incomp	417.986785	0
1	comp	384.68186	0
1	incomp	451.437025	0
1	comp	384.713855	1
1	comp	334.661049	0
1	incomp	434.742455	1
1	incomp	451.482813	0
1	comp	484.839043	0
1	comp	468.135986	0
1	comp	317.858839	0
1	incomp	534.889377	0
1	incomp	401.486604	0
1	incomp	351.325033	0
1	incomp	351.404248	0
1	incomp	384.709321	0
1	incomp	367.766822	0
1	comp	317.939405	0
1	incomp	351.2944	0
1	incomp	284.630831	0
1	incomp	368.025627	0
1	incomp	568.280618	0
1	comp	384.730011	0
1	incomp	401.390351	0
1	comp	351.316408	0
1	comp	317.941653	0
1	comp	401.376101	0
1	comp	351.369002	0
1	incomp	434.792853	0
1	comp	301.324546	0
1	incomp	368.000338	0
1	comp	334.649109	0
1	incomp	401.366224	0
1	incomp	568.26365	0
1	incomp	351.325077	0
1	comp	384.779423	0
1	comp	418.078592	0
1	comp	351.459107	0
1	comp	351.333738	0
1	incomp	418.115047	0
1	incomp	384.729692	0
1	comp	368.071389	0
1	incomp	368.032951	0
1	incomp	351.123885	1
1	comp	351.389488	0
1	comp	518.073822	0
1	comp	334.617763	0
1	comp	334.672075	0
1	comp	301.239125	0
1	comp	384.7522	0
1	comp	418.095254	0
1	incomp	367.933382	0
1	incomp	317.952134	1
1	comp	401.405017	0
1	incomp	434.714877	0
1	comp	334.721483	0
1	incomp	351.305642	0
10	incomp	368.003349	0
10	comp	334.64834	0
10	comp	318.065325	0
10	comp	301.215963	0
10	incomp	351.281942	0
10	incomp	401.357496	0
10	comp	334.562549	0
10	comp	368.057284	0
10	comp	367.773093	0
10	incomp	418.02175	0
10	comp	401.463887	1
10	incomp	468.165464	0
10	incomp	367.984358	0
10	incomp	434.811125	0
10	comp	451.482685	0
10	incomp	368.018854	0
10	incomp	468.135477	0
10	incomp	418.055594	0
10	comp	334.708259	0
10	incomp	434.832504	0
10	incomp	367.911785	0
10	comp	318.029101	0
10	comp	368.126362	0
10	incomp	501.422635	0
10	comp	334.718304	0
10	incomp	418.091525	0
10	incomp	384.601508	0
10	incomp	318.021592	0
10	incomp	318.014398	0
10	incomp	301.181846	0
10	incomp	301.167367	0
10	comp	301.345029	1
10	comp	418.07001	0
10	incomp	434.681178	0
10	incomp	284.591772	1
10	comp	451.430941	0
10	comp	301.208278	0
10	incomp	384.652875	0
10	comp	368.067941	0
10	comp	301.236722	0
10	incomp	418.054353	0
10	comp	551.480284	0
10	incomp	401.356721	0
10	incomp	401.46588	0
10	incomp	351.40338	0
10	comp	534.80371	0
10	comp	434.888132	0
10	comp	334.631717	0
10	comp	334.703728	0
10	comp	334.614514	0
10	comp	401.471743	0
10	comp	351.295801	0
10	incomp	418.13481	0
10	incomp	367.981274	0
10	comp	351.292621	0
10	comp	318.000089	0
10	comp	434.814309	0
10	comp	401.489404	0
10	comp	384.748602	0
10	comp	434.871641	0
10	incomp	518.127388	0
10	comp	418.142546	0
10	comp	368.05418	0
10	comp	401.447989	0
10	incomp	468.201835	0
10	incomp	434.832146	0
10	comp	634.971511	0
10	comp	468.155579	0
10	comp	451.430605	0
10	incomp	451.422792	0
10	incomp	384.667219	0
10	incomp	368.020709	0
10	comp	501.491714	0
10	incomp	351.327989	0
10	incomp	434.7658	0
10	comp	368.033236	0
10	incomp	317.918558	0
10	incomp	351.387667	0
10	incomp	434.786779	0
10	incomp	384.755025	0
10	incomp	417.748881	0
10	comp	368.038247	1
10	comp	434.822257	0
10	comp	334.662099	0
10	incomp	418.093544	0
10	incomp	384.645477	0
10	comp	351.399537	0
10	incomp	484.823026	0
10	comp	368.073468	0
10	incomp	368.058405	0
10	incomp	368.012006	0
10	comp	301.262228	0
10	incomp	418.092591	0
10	incomp	418.057252	0
10	incomp	351.328395	0
10	comp	534.886823	0
10	comp	317.983455	0
10	incomp	451.567149	0
10	incomp	351.041267	0
10	comp	301.328388	0
10	incomp	317.897395	1
10	comp	451.357705	1
10	incomp	551.55851	0
10	comp	484.853302	0
10	incomp	451.409032	0
10	incomp	418.093158	0
10	comp	451.480931	0
10	comp	367.974267	0
10	comp	267.97726	0
10	incomp	434.819931	0
10	comp	368.03187	0
10	comp	367.966302	0
10	comp	584.920702	0
10	comp	351.373905	0
10	incomp	451.561317	0
10	incomp	401.303489	0
10	incomp	317.972519	1
10	incomp	384.715664	0
10	incomp	351.356643	0
10	comp	434.698427	0
10	incomp	384.681094	0
10	comp	368.135284	0
10	comp	384.63841	0
10	incomp	351.328853	0
10	incomp	351.25085	0
10	comp	351.356413	0
10	comp	351.378975	0
10	comp	284.601196	0
10	incomp	451.418461	0
10	comp	484.81815	0
10	incomp	318.03198	0
10	comp	368.086436	0
10	comp	368.027595	0
10	comp	434.727017	0
10	incomp	334.701841	1
10	comp	351.355921	0
10	incomp	434.73845	0
10	incomp	351.358476	0
10	comp	451.440566	0
10	incomp	368.054969	0
10	comp	334.32355	0
10	comp	368.113222	0
10	comp	318.033683	0
10	comp	367.917771	0
10	incomp	418.148673	0
10	incomp	434.815576	0
10	incomp	334.703822	0
10	comp	368.057262	0
10	incomp	418.087397	0
10	incomp	418.153239	0
10	incomp	401.432462	0
10	comp	384.682304	0
10	comp	334.70194	0
10	comp	351.317427	0
10	incomp	468.183313	0
10	incomp	401.107635	0
10	comp	351.357506	1
10	incomp	401.350972	0
10	incomp	434.797	0
10	comp	367.987508	0
10	incomp	367.971374	0
10	comp	484.817524	0
10	incomp	501.547453	0
10	incomp	401.350068	0
10	comp	434.784026	0
10	incomp	401.443799	0
10	comp	401.375306	1
10	comp	368.09121	0
10	incomp	685.023188	0
10	incomp	351.303158	0
10	incomp	367.931516	0
10	comp	484.835069	0
10	incomp	368.002337	0
10	incomp	401.321119	0
10	incomp	384.720585	0
10	comp	418.071452	0
10	incomp	368.028454	0
10	incomp	401.476365	0
10	comp	368.140215	0
10	comp	334.650134	0
10	incomp	434.831796	0
10	incomp	501.49953	0
10	comp	618.310245	0
10	comp	318.000995	0
10	incomp	418.101286	0
10	comp	301.294334	0
10	incomp	367.938286	0
10	incomp	334.776218	0
10	incomp	284.633777	0
10	comp	351.313099	0
10	comp	318.015299	0
10	incomp	401.379859	0
10	comp	384.699	0
10	comp	334.657	0
10	comp	367.895994	0
10	incomp	367.97703	0
10	comp	384.849415	0
10	incomp	434.749777	0
10	comp	367.99421	0
10	incomp	401.372857	0
10	incomp	368.084271	0
10	comp	384.766332	0
10	incomp	401.389444	0
10	comp	418.011541	0
10	incomp	317.971998	0
10	incomp	451.482758	0
10	incomp	284.50516	0
10	incomp	451.419048	1
10	comp	401.204922	0
10	incomp	368.048622	0
10	comp	434.80908	0
10	comp	334.665483	0
10	comp	384.709379	0
10	incomp	418.012881	0
10	comp	401.412146	0
10	comp	351.304573	0
10	comp	334.529312	0
10	incomp	401.37681	0
10	comp	401.398834	0
10	comp	401.326861	0
10	comp	401.42939	0
10	incomp	367.977971	1
10	comp	451.525121	0
10	comp	317.978547	0
10	comp	384.729795	0
10	incomp	434.810222	0
10	incomp	334.6184	0
10	comp	401.453454	0
10	comp	368.029478	0
10	incomp	351.356417	1
10	incomp	351.316961	0
10	comp	384.645018	0
10	comp	267.942499	1
10	comp	418.128084	0
10	comp	334.754029	0
10	comp	284.650236	0
10	comp	301.345685	0
10	incomp	267.995269	0
10	comp	384.703739	0
10	incomp	401.208039	0
10	incomp	551.540421	0
10	comp	351.355751	0
10	incomp	384.777875	0
10	comp	401.458227	0
10	incomp	368.010602	0
10	comp	451.427623	1
10	incomp	434.778505	0
10	comp	368.07841	0
10	incomp	384.704511	0
10	comp	434.765209	0
10	incomp	484.816069	0
10	incomp	368.085229	1
10	incomp	384.635851	0
10	comp	334.667381	0
10	comp	384.6715	0
10	comp	318.000352	0
10	incomp	401.468074	0
10	incomp	384.702051	0
10	comp	451.354001	0
10	comp	451.504608	0
10	comp	368.007381	0
10	incomp	484.823347	0
10	comp	434.68306	0
10	comp	518.223226	0
10	incomp	334.762471	0
10	incomp	384.736675	0
10	comp	368.069095	0
10	comp	367.991195	0
10	incomp	401.425068	0
10	incomp	334.600769	0
10	comp	301.313967	0
10	incomp	334.706881	0
10	comp	317.988926	0
10	incomp	401.430138	0
10	incomp	384.723437	0
10	incomp	384.375865	0
10	comp	401.363553	0
10	incomp	401.46132	0
10	incomp	368.080248	0
10	incomp	401.357924	0
10	incomp	368.075398	0
10	comp	317.975195	0
10	incomp	367.933643	0
10	comp	451.475213	0
10	incomp	368.07062	0
10	incomp	351.277357	0
10	incomp	351.397404	0
10	comp	434.779879	0
10	incomp	468.163101	0
10	comp	301.327702	0
10	comp	317.950806	0
10	incomp	401.296175	0
10	incomp	367.999945	0
10	comp	334.44847	0
10	incomp	351.373376	0
10	comp	418.145344	0
10	comp	418.122324	0
10	incomp	368.027058	0
10	comp	384.728125	0
10	comp	317.949803	0
10	comp	351.351461	0
10	incomp	368.01426	0
10	incomp	334.683932	0
10	comp	368.009064	0
10	incomp	451.448571	0
10	incomp	334.636279	0
10	incomp	351.288881	0
10	incomp	367.919825	0
10	incomp	384.700654	0
10	incomp	317.939381	1
10	comp	434.809386	0
10	comp	301.309333	0
10	comp	301.210039	0
10	incomp	468.188673	0
10	comp	317.965129	0
10	incomp	384.758162	0
10	comp	334.689986	0
10	incomp	317.917027	1
10	comp	351.371557	0
10	comp	384.718131	0
10	incomp	368.081259	1
10	comp	434.780579	0
10	comp	334.663143	0
10	incomp	334.717545	0
10	comp	501.469187	0
10	comp	318.008821	0
10	comp	351.362317	0
10	incomp	384.691223	0
10	incomp	401.430256	0
10	comp	418.052359	0
10	comp	384.685581	0
10	comp	351.395162	0
10	comp	585.003094	0
10	incomp	401.075589	0
10	incomp	568.23288	0
10	incomp	334.63882	0
11	incomp	451.487345	0
11	incomp	418.039036	0
11	comp	484.875661	0
11	comp	334.663717	0
11	comp	301.307471	0
11	incomp	351.292877	1
11	comp	618.315441	0
11	comp	351.358019	0
11	comp	334.722618	0
11	comp	301.288943	0
11	incomp	551.469831	0
11	incomp	351.231604	1
11	incomp	468.059412	0
11	comp	317.966599	0
11	comp	434.833987	0
11	comp	368.016979	0
11	incomp	334.64081	1
11	comp	351.349262	0
11	incomp	468.112135	0
11	comp	484.799252	0
11	comp	301.298151	0
11	comp	334.72262	0
11	incomp	434.794925	0
11	incomp	401.458944	0
11	comp	418.08075	0
11	comp	368.035497	0
11	comp	317.807748	0
11	incomp	334.630402	0
11	incomp	334.664251	1
11	incomp	468.201353	0
11	incomp	484.836529	0
11	incomp	418.113818	0
11	comp	568.240092	0
11	incomp	501.562468	0
11	comp	501.474253	0
11	incomp	451.406882	0
11	comp	351.291098	0
11	incomp	468.193722	0
11	incomp	501.466661	0
11	incomp	418.083779	0
11	incomp	551.582101	0
11	comp	518.154685	0
11	incomp	384.721542	0
11	comp	334.693417	0
11	incomp	384.677577	0
11	comp	468.079504	1
11	incomp	468.109425	0
11	comp	334.593922	0
11	comp	317.922487	0
11	incomp	434.808882	0
11	comp	401.409603	0
11	comp	384.726912	0
11	incomp	484.842559	0
11	incomp	367.912699	0
11	incomp	384.678715	0
11	comp	434.791202	0
11	comp	484.811919	0
11	incomp	317.971616	0
11	comp	301.315574	0
11	incomp	284.632207	1
11	incomp	518.169853	0
11	comp	351.351305	0
11	comp	284.645409	0
11	incomp	451.412081	0
11	incomp	367.980113	0
11	comp	367.974757	0
11	incomp	434.781405	0
11	comp	301.142171	0
11	incomp	434.629494	0
11	incomp	267.887279	0
11	comp	351.317709	0
11	incomp	251.17721	1
11	comp	401.380246	0
11	incomp	401.336592	0
11	incomp	367.993091	0
11	comp	434.734827	0
11	incomp	384.667822	0
11	comp	518.158687	0
11	comp	334.623513	0
11	comp	317.965254	0
11	comp	368.033423	0
11	comp	351.370031	0
11	comp	351.249985	0
11	comp	351.340674	0
11	comp	317.95682	0
11	comp	334.668388	0
11	incomp	384.658101	0
11	incomp	501.377586	0
11	incomp	418.040801	1
11	comp	351.272705	0
11	incomp	351.292271	0
11	incomp	351.43934	0
11	incomp	301.267325	0
11	incomp	401.335602	0
11	incomp	484.961936	0
11	comp	384.665707	0
11	incomp	568.285025	0
11	incomp	468.126193	0
11	comp	518.197199	0
11	incomp	384.728768	0
11	comp	451.500657	1
11	comp	334.733319	0
11	incomp	384.727847	0
11	comp	585.029507	0
11	comp	418.11303	0
11	incomp	368.074617	0
11	comp	334.671808	0
11	incomp	451.411047	0
11	comp	351.367106	0
11	incomp	334.769856	1
11	incomp	284.630654	0
11	comp	434.706621	0
11	comp	301.224424	0
11	incomp	301.338314	1
11	incomp	401.36518	0
11	comp	401.401325	0
11	comp	317.984912	0
11	comp	351.344375	0
11	comp	351.313908	0
11	incomp	484.827889	0
11	comp	534.814662	0
11	incomp	351.380638	1
11	comp	501.477997	0
11	incomp	351.366974	0
11	incomp	367.987384	1
11	comp	451.514696	0
11	comp	284.642461	0
11	incomp	518.14897	0
11	incomp	384.688811	0
11	comp	418.07471	0
11	comp	351.34815	0
11	incomp	451.411685	0
11	incomp	518.152521	0
11	incomp	568.201598	0
11	comp	751.654193	0
11	comp	301.298708	0
11	incomp	401.396195	0
11	comp	368.072149	0
11	incomp	384.617775	0
11	incomp	317.929005	1
11	comp	368.018057	0
11	incomp	401.493403	0
11	incomp	251.290217	1
11	comp	384.711025	0
11	incomp	368.016875	1
11	incomp	434.737794	0
11	comp	334.373781	0
11	comp	418.113893	0
11	comp	334.687574	0
11	incomp	401.383539	0
11	incomp	518.202669	0
11	comp	301.358009	0
11	incomp	368.067243	0
11	incomp	384.738713	0
11	incomp	418.032213	0
11	comp	418.080846	0
11	incomp	418.026263	0
11	incomp	401.461025	0
11	comp	384.665581	1
11	incomp	501.476291	0
11	comp	301.327874	0
11	comp	384.771048	0
11	comp	317.99265	0
11	incomp	434.685419	0
11	incomp	384.693302	0
11	comp	468.191624	0
11	comp	451.517154	0
11	incomp	518.267831	0
11	incomp	284.58507	0
11	incomp	384.66326	0
11	incomp	351.383333	0
11	incomp	367.995125	0
11	incomp	334.583133	0
11	incomp	351.365844	0
11	incomp	334.641209	0
11	comp	534.880943	0
11	comp	301.310674	0
11	incomp	401.414132	0
11	incomp	351.345708	0
11	incomp	401.467807	0
11	incomp	368.051709	0
11	comp	401.455871	0
11	comp	351.358842	0
11	incomp	401.373196	0
11	incomp	451.381458	0
11	comp	384.737709	0
11	comp	334.680251	0
11	comp	351.460912	0
11	comp	351.296961	0
11	incomp	418.0302	0
11	incomp	434.788087	0
11	comp	334.43831	0
11	incomp	501.403758	0
11	incomp	518.177435	0
11	comp	367.746507	0
11	comp	501.586395	0
11	incomp	368.130229	0
11	comp	368.016463	0
11	comp	318.080794	0
11	comp	284.503062	0
11	incomp	351.318656	1
11	comp	334.677944	0
11	incomp	418.038181	0
11	incomp	401.496061	0
11	comp	318.097908	0
11	comp	351.287691	0
11	comp	284.308047	0
11	comp	317.958223	0
11	comp	334.689118	0
11	incomp	468.131321	0
11	incomp	468.087319	0
11	comp	401.287646	0
11	incomp	468.194359	0
11	incomp	484.805693	0
11	comp	334.674148	0
11	comp	284.582725	0
11	incomp	317.984634	1
11	comp	418.125079	0
11	comp	351.261603	0
11	incomp	351.393026	1
11	comp	417.820951	0
11	comp	351.318231	0
11	comp	317.878727	0
11	incomp	468.193157	1
11	comp	301.255465	0
11	comp	384.658061	0
11	incomp	318.031405	0
11	comp	434.81839	0
11	comp	284.674989	0
11	comp	284.646433	0
11	comp	284.655295	0
11	incomp	518.235385	0
11	comp	367.999743	0
11	incomp	301.260953	0
11	incomp	351.310265	0
11	comp	451.399972	0
11	comp	351.304456	0
11	incomp	334.722211	1
11	incomp	568.227	0
11	incomp	284.626808	0
11	comp	401.331127	1
11	incomp	468.182304	0
11	comp	384.678473	0
11	incomp	551.484889	0
11	incomp	401.420381	0
11	incomp	384.668656	0
11	incomp	418.065037	0
11	comp	368.034006	0
11	comp	301.249457	0
11	comp	301.319145	0
11	incomp	418.04669	0
11	incomp	367.985464	0
11	comp	418.120665	1
11	comp	534.862482	0
11	incomp	451.43941	0
11	incomp	401.42149	0
11	incomp	301.286369	0
11	comp	301.232189	0
11	comp	318.026891	0
11	comp	384.741147	0
11	incomp	351.311389	0
11	comp	351.267987	0
11	comp	367.94245	0
11	incomp	434.824847	0
11	incomp	301.321608	0
11	incomp	351.350126	0
11	comp	384.73446	0
11	incomp	251.21898	0
11	incomp	351.299242	1
11	incomp	501.457573	0
11	comp	418.148966	0
11	incomp	417.976294	0
11	comp	351.30431	0
11	incomp	367.97791	0
11	incomp	334.733116	0
11	comp	384.738232	1
11	comp	401.419259	0
11	comp	451.475171	0
11	comp	368.015623	0
11	comp	368.03343	0
11	incomp	317.93799	0
11	comp	367.97363	0
11	incomp	367.971946	0
11	incomp	401.418595	0
11	comp	317.926261	0
11	comp	301.261938	0
11	comp	301.226294	0
11	incomp	301.29142	1
11	comp	334.700274	0
11	comp	384.752405	0
11	comp	251.191178	0
11	incomp	418.072574	0
11	incomp	217.794377	0
11	comp	351.38614	1
11	comp	384.751542	0
11	comp	318.009411	0
11	incomp	534.951959	0
11	incomp	401.433419	0
11	comp	368.011225	0
11	incomp	301.324433	0
11	incomp	384.657139	0
11	incomp	351.213431	0
11	incomp	384.698924	0
11	comp	551.551881	0
11	incomp	518.155596	0
11	comp	501.536337	0
11	incomp	301.164872	1
11	comp	384.639207	0
11	comp	318.001586	0
11	incomp	534.917434	0
11	incomp	334.580676	0
11	comp	267.851686	1
11	comp	318.033362	0
11	comp	351.301162	0
11	comp	351.354778	0
11	comp	334.705788	0
11	incomp	368.01368	1
11	incomp	451.502867	0
11	comp	334.666765	0
11	comp	334.63711	0
11	comp	334.628993	0
11	incomp	451.462193	0
11	incomp	317.944787	1
11	comp	418.161618	0
11	comp	367.988049	0
11	comp	351.263544	0
11	incomp	501.449181	0
11	incomp	434.664133	0
11	incomp	384.756611	0
11	incomp	368.086076	0
11	incomp	367.912215	0
11	incomp	501.539583	0
11	comp	551.516302	0
11	incomp	351.406403	0
11	incomp	334.577747	0
12	incomp	618.216929	0
12	incomp	334.604668	0
12	incomp	534.926049	0
12	comp	401.356958	0
12	incomp	468.202871	0
12	incomp	718.35274	0
12	comp	484.815293	0
12	incomp	534.880879	1
12	comp	401.409994	0
12	incomp	551.46455	0
12	comp	351.311495	0
12	incomp	568.234304	0
12	incomp	468.178287	0
12	incomp	501.520586	0
12	comp	584.990187	0
12	comp	468.065018	0
12	comp	451.398435	0
12	comp	434.734939	0
12	comp	418.056213	0
12	comp	501.467604	0
12	incomp	401.394303	1
12	incomp	501.391472	0
12	incomp	351.336178	0
12	incomp	501.511543	0
12	comp	384.73267	0
12	incomp	518.182094	0
12	comp	418.089689	0
12	incomp	518.176565	0
12	incomp	518.161853	0
12	comp	418.00128	0
12	incomp	451.483486	0
12	incomp	451.433208	0
12	comp	518.228899	0
12	incomp	434.667521	0
12	incomp	518.194859	0
12	comp	384.740323	0
12	comp	418.137772	0
12	comp	468.082912	0
12	incomp	551.605769	0
12	comp	601.595775	0
12	comp	401.421244	0
12	comp	484.818353	0
12	comp	484.797586	0
12	incomp	551.599447	0
12	comp	451.459542	0
12	incomp	534.907621	0
12	comp	501.469126	0
12	comp	384.778994	0
12	comp	368.011863	0
12	incomp	351.053044	1
12	incomp	501.517063	0
12	comp	468.160907	0
12	comp	368.039393	0
12	incomp	434.759154	0
12	comp	418.076448	0
12	incomp	618.218209	0
12	incomp	467.998869	0
12	comp	384.658711	0
12	comp	368.056122	0
12	comp	401.288343	0
12	incomp	518.257133	0
12	comp	401.368572	0
12	comp	384.773259	0
12	incomp	584.905227	0
12	comp	351.354374	0
12	comp	534.923335	0
12	comp	418.083263	0
12	incomp	551.52931	0
12	incomp	334.654042	0
12	incomp	551.577449	0
12	incomp	418.025869	0
12	comp	451.330826	0
12	incomp	501.518472	0
12	comp	468.212953	0
12	comp	367.97157	0
12	incomp	434.707218	0
12	comp	368.068608	0
12	comp	351.38907	0
12	comp	334.644711	0
12	incomp	318.022345	1
12	incomp	368.024664	0
12	comp	468.144252	0
12	incomp	501.464222	0
12	comp	451.423784	0
12	comp	468.178715	0
12	incomp	735.174287	0
12	incomp	384.740743	0
12	incomp	534.867038	0
12	comp	501.452824	0
12	incomp	451.512187	0
12	incomp	551.532827	0
12	incomp	651.667923	0
12	incomp	501.491111	0
12	incomp	368.050678	0
12	incomp	384.715728	0
12	incomp	367.714461	0
12	incomp	468.113207	0
12	incomp	451.424234	0
12	comp	418.079646	0
12	comp	401.517	0
12	incomp	501.405005	0
12	comp	501.540082	0
12	comp	468.070551	0
12	comp	418.111172	0
12	incomp	634.877947	0
12	comp	401.386482	0
12	incomp	551.552948	0
12	comp	468.129587	0
12	comp	368.016456	0
12	comp	367.706639	0
12	incomp	534.822899	0
