Test data for mulitlocus estimates of F-statistics (from A.J. Gharrett)
Loc1 
Loc2 
Loc3
Pop
0001  PopI,  0101 0101 0101
0073  PopI,  0101 0000 0000
0074  PopI,  0101 0000 0000
0075  PopI,  0101 0000 0202
0076  PopI,  0101 0000 0202
0077  PopI,  0101 0000 0202
0078  PopI,  0101 0000 0202
0079  PopI,  0102 0000 0000
PopI,        0102 0000 0202
Pop
0001  PopJ,  0202 0102 0101
0002  PopJ,  0202 0102 0101
0003  PopJ,  0102 0202 0101
0004  PopJ,  0202 0202 0101
0005  PopJ,  0202 0202 0101
0006  PopJ,  0202 0202 0101
0007  PopJ,  0202 0202 0101
0008  PopJ,  0202 0202 0101
0009  PopJ,  0102 0102 0102
0010  PopJ,  0202 0102 0102
0011  PopJ,  0202 0102 0102
0012  PopJ,  0202 0102 0102
0013  PopJ,  0202 0102 0102
0014  PopJ,  0102 0202 0102
0015  PopJ,  0102 0202 0102
0016  PopJ,  0102 0202 0102
0017  PopJ,  0202 0202 0102
0018  PopJ,  0202 0202 0102
0019  PopJ,  0202 0202 0102
0020  PopJ,  0202 0202 0102
0021  PopJ,  0202 0202 0102
0022  PopJ,  0202 0202 0102
0023  PopJ,  0202 0202 0102
0024  PopJ,  0202 0202 0102
0025  PopJ,  0202 0202 0102
0026  PopJ,  0202 0202 0102
0027  PopJ,  0202 0202 0102
0028  PopJ,  0202 0202 0102
0029  PopJ,  0102 0102 0202
0030  PopJ,  0202 0102 0202
0031  PopJ,  0202 0102 0202
0032  PopJ,  0102 0202 0202
0033  PopJ,  0102 0202 0202
0034  PopJ,  0202 0202 0202
0035  PopJ,  0202 0202 0202
0036  PopJ,  0202 0202 0202
0037  PopJ,  0202 0202 0202
0038  PopJ,  0202 0202 0202
0039  PopJ,  0202 0202 0202
PopJ,        0202 0202 0202
Pop
0001  PopK,  0101 0303 0101
0002  PopK,  0101 0303 0101
0003  PopK,  0101 0303 0101
0004  PopK,  0102 0303 0101
0005  PopK,  0102 0303 0101
0006  PopK,  0102 0303 0101
0007  PopK,  0102 0303 0101
0008  PopK,  0102 0303 0101
0009  PopK,  0102 0303 0101
0010  PopK,  0202 0303 0101
0011  PopK,  0202 0303 0101
0012  PopK,  0202 0303 0101
0013  PopK,  0101 0303 0102
0014  PopK,  0101 0303 0102
0015  PopK,  0101 0303 0102
0016  PopK,  0101 0303 0102
0017  PopK,  0101 0303 0102
0018  PopK,  0102 0303 0102
0019  PopK,  0102 0303 0102
0020  PopK,  0102 0303 0102
0021  PopK,  0102 0303 0102
0022  PopK,  0102 0303 0102
0023  PopK,  0102 0303 0102
0024  PopK,  0102 0303 0102
0025  PopK,  0102 0303 0102
0026  PopK,  0102 0303 0102
0027  PopK,  0102 0303 0102
0028  PopK,  0202 0303 0102
0029  PopK,  0202 0303 0102
0030  PopK,  0202 0303 0102
0031  PopK,  0202 0303 0102
0032  PopK,  0202 0303 0102
0033  PopK,  0101 0303 0202
0034  PopK,  0101 0303 0202
0035  PopK,  0102 0303 0202
0036  PopK,  0102 0303 0202
0037  PopK,  0102 0303 0202
0038  PopK,  0102 0303 0202
0039  PopK,  0202 0303 0202
PopK,        0202 0303 0202 
