"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
26 4 2 1 5 17 3 1 1 1 5 48
26 5 1 1 5 17 3 1 1 1 5 48
27 2 2 6 1 59 11 1 1 6 1 68
28 2 2 7 2 68 5 1 1 7 2 40
28 3 1 7 2 66 5 1 1 7 2 40
29 2 1 1 2 11 3 1 1 1 2 51
29 3 2 1 2 53 10 1 1 1 2 51
29 4 1 1 1 20 12 1 1 1 2 51
29 5 1 1 2 18 12 1 1 1 2 51
30 2 2 1 3 61 2 1 1 1 1 55
31 2 1 4 1 51 2 1 2 4 1 47
31 3 2 4 1 8 3 1 2 4 1 47
32 2 2 1 1 20 11 2 2 1 1 21
33 2 2 6 1 45 2 1 1 1 1 51
33 3 2 8 1 13 3 1 1 1 1 51
33 4 1 8 1 8 3 1 1 1 1 51
34 2 1 1 1 64 2 1 2 1 1 58
34 3 1 1 1 19 3 1 2 1 1 58
35 2 2 1 1 54 2 1 1 1 1 58
36 2 2 1 2 48 2 1 1 1 2 65
37 2 2 7 5 46 2 1 1 1 1 47
38 2 2 1 1 57 2 1 1 1 1 53
38 3 1 1 1 78 5 1 1 1 1 53
39 2 2 2 1 52 2 1 1 1 1 53
39 3 1 1 1 20 3 1 1 1 1 53
40 2 1 8 1 40 2 1 2 1 1 41
40 3 2 1 1 9 3 1 2 1 1 41
40 4 2 1 1 6 3 1 2 1 1 41
41 2 2 1 2 41 2 1 1 6 1 41
41 3 1 1 2 11 3 1 1 6 1 41
41 4 1 1 2 8 3 1 1 6 1 41
41 5 1 1 2 1 3 1 1 6 1 41
42 2 2 6 1 42 2 1 1 1 1 36
42 3 2 8 1 7 3 1 1 1 1 36
42 4 2 8 1 1 3 1 1 1 1 36
43 2 2 1 1 45 2 1 1 1 1 48
43 3 1 1 1 22 3 1 1 1 1 48
44 2 2 1 1 48 2 1 1 1 1 49
44 3 2 1 1 16 3 1 1 1 1 49
45 2 1 2 1 25 3 1 2 2 1 61
45 3 1 2 1 82 5 1 2 2 1 61
45 4 2 2 1 83 10 1 2 2 1 61
46 2 2 1 1 53 2 1 1 1 1 61
46 3 2 1 1 22 3 1 1 1 1 61
47 2 2 2 1 40 3 2 1 2 1 66
47 3 1 2 1 7 9 2 1 2 1 66
47 4 1 2 1 46 12 2 1 2 1 66
48 2 2 8 1 53 2 1 1 1 1 54
48 3 2 1 1 20 3 1 1 1 1 54
49 2 1 1 1 63 2 1 2 1 1 53
50 2 1 1 1 30 2 1 2 1 1 34
50 3 2 1 1 16 3 1 2 1 1 34
50 4 1 1 1 13 3 1 2 1 1 34
50 5 2 1 1 10 3 1 2 1 1 34
50 6 2 1 1 5 3 1 2 1 1 34
51 2 2 1 1 55 2 1 1 1 1 58
52 2 2 1 1 66 2 1 1 1 1 68
53 2 1 1 2 54 3 1 1 1 2 80
54 2 2 1 1 47 2 1 1 1 1 51
54 3 1 1 1 18 3 1 1 1 1 51
55 2 1 7 2 46 7 2 1 7 2 27
55 3 1 7 2 31 10 2 1 7 2 27
56 2 2 1 1 62 2 1 1 1 1 67
57 2 1 2 2 23 3 2 2 2 1 46
57 3 1 2 3 12 3 2 2 2 1 46
58 2 2 1 1 68 2 1 1 1 1 70
59 2 2 1 1 33 2 1 1 1 1 33
59 3 1 1 1 3 3 1 1 1 1 33
59 4 2 1 1 1 3 1 1 1 1 33
60 2 1 7 2 24 3 1 2 7 2 50
60 3 1 7 2 21 3 1 2 7 2 50
60 4 2 7 2 18 3 1 2 7 2 50
61 2 2 1 1 53 2 1 1 1 1 52
62 2 2 1 1 39 2 1 1 1 1 41
62 3 2 1 1 7 3 1 1 1 1 41
62 4 1 1 1 4 3 1 1 1 1 41
63 2 2 1 1 52 2 1 1 1 1 54
63 3 1 1 1 16 3 1 1 1 1 54
63 4 1 1 1 10 3 1 1 1 1 54
64 2 2 1 2 35 2 1 1 1 2 46
64 3 1 1 2 17 3 1 1 1 2 46
64 4 1 1 2 11 3 1 1 1 2 46
64 5 1 1 2 7 3 1 1 1 2 46
65 2 1 1 1 28 11 2 2 1 1 27
66 2 1 6 1 46 2 2 2 1 1 45
66 3 1 8 1 5 3 2 2 1 1 45
67 2 2 1 1 75 11 1 1 1 1 73
68 2 1 1 1 70 2 1 2 1 1 68
69 2 2 7 5 20 2 1 1 7 5 23
69 3 2 7 5 3 7 1 1 7 5 23
69 4 1 7 5 44 5 1 1 7 5 23
69 5 2 7 5 42 5 1 1 7 5 23
70 2 1 1 1 53 2 1 2 1 1 48
70 3 2 1 1 13 3 1 2 1 1 48
71 2 2 1 1 55 2 1 1 1 1 72
72 2 1 1 1 18 3 1 2 1 1 47
72 3 2 1 1 17 3 1 2 1 1 47
72 4 1 1 1 37 11 1 2 1 1 47
73 2 1 1 1 52 11 1 1 1 1 58
74 2 1 1 1 59 7 1 1 1 1 66
75 2 1 1 1 75 2 1 2 1 1 71
76 2 2 1 1 70 2 1 1 1 1 76
77 2 2 1 1 68 2 1 1 1 1 86
78 2 2 6 1 47 2 2 1 1 1 52
78 3 1 8 1 9 3 2 1 1 1 52
79 2 1 1 1 70 2 1 2 1 1 66
80 2 2 1 1 72 2 1 1 1 1 75
80 3 1 1 1 45 3 1 1 1 1 75
81 2 1 7 2 11 3 2 2 7 2 38
82 2 1 1 1 45 3 1 2 1 1 71
83 2 1 1 1 27 11 2 1 1 1 27
84 2 1 2 1 68 2 1 2 2 1 69
84 3 1 2 1 51 3 1 2 2 1 69
84 4 1 2 1 44 3 1 2 2 1 69
85 2 2 2 1 23 3 1 2 2 1 57
86 2 2 1 1 28 2 2 1 1 1 29
87 2 1 1 1 17 3 2 2 1 1 36
87 3 1 1 1 15 3 2 2 1 1 36
87 4 1 1 1 2 3 2 2 1 1 36
87 5 1 1 1 36 11 2 2 1 1 36
88 2 2 1 1 42 2 1 1 1 1 41
88 3 2 1 1 13 3 1 1 1 1 41
88 4 1 1 1 9 3 1 1 1 1 41
89 2 2 1 1 72 2 1 1 1 1 81
90 2 1 1 2 6 3 2 2 1 2 24
90 3 2 1 2 5 3 2 2 1 2 24
90 4 2 1 2 1 3 2 2 1 2 24
91 2 2 1 1 31 2 2 1 7 2 43
91 3 2 1 1 4 3 2 1 7 2 43
91 4 1 7 2 45 7 2 1 7 2 43
91 5 1 7 2 36 7 2 1 7 2 43
92 2 1 1 1 78 2 1 2 1 1 70
93 2 2 1 1 53 2 1 1 1 1 53
94 2 2 1 1 46 2 1 1 1 2 44
94 3 2 1 2 17 3 1 1 1 2 44
94 4 1 1 2 15 3 1 1 1 2 44
94 5 2 1 2 12 3 1 1 1 2 44
95 2 2 8 1 70 2 2 1 8 1 79
96 2 1 1 1 54 2 1 2 1 1 52
96 3 2 1 1 29 3 1 2 1 1 52
96 4 1 1 1 25 3 1 2 1 1 52
96 5 1 1 1 20 3 1 2 1 1 52
97 2 1 1 1 50 2 1 2 1 1 42
97 3 1 1 1 17 3 1 2 1 1 42
97 4 2 1 1 3 3 1 2 1 1 42
97 5 2 1 1 46 7 1 2 1 1 42
98 2 1 1 1 55 11 1 1 1 3 50
99 2 2 1 5 54 2 1 1 1 5 57
99 3 2 1 5 20 3 1 1 1 5 57
100 2 2 1 1 56 2 1 1 1 1 56
101 2 2 1 1 57 2 1 1 1 1 61
102 2 2 1 1 52 2 1 1 1 1 52
102 3 1 1 1 23 3 1 1 1 1 52
102 4 2 1 1 17 3 1 1 1 1 52
103 2 1 1 1 14 3 1 2 1 1 40
103 3 1 1 1 39 11 1 2 1 1 40
104 2 2 1 1 84 2 1 1 1 1 81
105 2 2 6 1 46 2 1 1 6 1 50
106 2 2 1 1 47 2 1 1 1 1 50
107 2 2 1 1 64 2 1 1 1 1 71
108 2 2 1 1 25 3 1 1 1 1 47
108 3 2 1 1 3 9 1 1 1 1 47
108 4 1 2 1 29 12 1 1 1 1 47
109 2 2 1 1 29 11 2 1 1 1 30
110 2 2 1 1 55 2 1 1 1 1 58
111 2 2 1 1 29 2 2 1 1 1 36
111 3 1 1 1 3 3 2 1 1 1 36
111 4 1 1 1 12 3 2 1 1 1 36
112 2 2 1 1 27 2 1 1 1 1 35
112 3 1 1 1 8 3 1 1 1 1 35
112 4 1 1 1 7 3 1 1 1 1 35
112 5 2 1 1 5 3 1 1 1 1 35
113 2 2 8 2 53 2 1 1 8 2 55
113 3 1 1 2 25 3 1 1 8 2 55
113 4 2 1 2 22 3 1 1 8 2 55
113 5 1 8 2 87 6 1 1 8 2 55
113 6 2 1 2 76 6 1 1 8 2 55
114 2 1 1 1 48 2 2 2 1 1 41
114 3 1 1 1 4 3 2 2 1 1 41
115 2 1 1 1 69 2 1 2 1 1 62
116 2 1 1 5 41 2 2 2 1 3 36
116 3 2 1 3 16 3 2 2 1 3 36
116 4 2 1 5 5 3 2 2 1 3 36
116 5 2 1 5 18 3 2 2 1 3 36
117 2 2 1 1 40 2 1 1 1 1 36
117 3 2 1 1 7 3 1 1 1 1 36
118 2 1 1 1 79 2 1 2 1 1 72
119 2 1 1 1 6 3 1 1 1 1 33
120 2 2 1 1 41 2 1 1 1 1 38
120 3 1 1 1 14 3 1 1 1 1 38
120 4 2 1 1 13 3 1 1 1 1 38
120 5 1 1 1 10 3 1 1 1 1 38
120 6 1 1 1 6 3 1 1 1 1 38
121 2 1 1 1 56 2 1 2 1 1 57
121 3 2 1 1 30 3 1 2 1 1 57
121 4 1 1 1 28 3 1 2 1 1 57
122 2 2 1 1 49 2 1 1 1 1 54
122 3 2 1 1 18 3 1 1 1 1 54
122 4 2 1 1 6 3 1 1 1 1 54
123 2 2 1 1 82 2 1 1 1 1 88
124 2 1 1 1 59 2 1 2 1 1 60
125 2 2 1 1 64 2 1 1 1 1 75
126 2 1 1 2 26 3 1 2 1 2 61
127 2 1 1 1 15 3 2 2 1 1 34
127 3 2 1 1 10 3 2 2 1 1 34
128 2 2 1 1 71 2 1 1 1 1 70
129 2 1 1 1 73 2 1 2 1 1 72
130 2 2 1 1 30 2 1 1 1 1 30
131 2 2 1 1 34 2 1 1 1 1 33
131 3 1 1 1 16 3 1 1 1 1 33
132 2 1 2 1 54 2 1 2 2 1 51
132 3 1 2 1 13 3 1 2 2 1 51
133 2 2 1 1 35 2 1 1 1 1 35
133 3 1 1 1 16 3 1 1 1 1 35
133 4 2 1 1 14 3 1 1 1 1 35
133 5 1 1 1 10 3 1 1 1 1 35
134 2 1 1 1 59 2 1 2 1 1 59
135 2 2 1 1 51 2 1 1 1 1 52
135 3 1 1 1 15 3 1 1 1 1 52
135 4 1 1 1 12 3 1 1 1 1 52
136 2 2 1 1 64 2 1 1 1 1 68
137 2 2 1 1 71 2 1 1 1 1 71
138 2 2 2 1 44 2 2 1 2 1 49
139 2 2 1 1 32 2 1 1 1 1 33
139 3 2 1 1 4 3 1 1 1 1 33
139 4 1 1 1 2 3 1 1 1 1 33
140 2 1 1 5 35 2 1 2 1 5 42
140 3 2 1 5 7 3 1 2 1 5 42
141 2 1 6 1 50 2 1 2 6 1 44
141 3 1 6 1 18 3 1 2 6 1 44
141 4 2 6 1 15 3 1 2 6 1 44
141 5 1 6 1 13 3 1 2 6 1 44
141 6 2 6 1 72 6 1 2 6 1 44
142 2 2 1 1 35 2 1 1 1 1 37
142 3 1 1 1 13 3 1 1 1 1 37
142 4 2 1 1 12 3 1 1 1 1 37
143 2 1 1 1 29 12 1 2 1 1 51
144 2 2 1 1 16 3 2 2 1 1 49
144 3 1 1 1 14 3 2 2 1 1 49
145 2 2 9 2 5 3 2 1 1 1 31
145 3 1 9 2 3 3 2 1 1 1 31
146 2 2 1 1 26 2 1 1 1 1 26
147 2 2 6 1 52 2 1 1 6 1 56
148 2 2 1 1 62 2 1 1 1 1 64
149 2 2 1 1 45 2 2 1 1 1 49
149 3 1 1 1 11 3 2 1 1 1 49
149 4 2 1 1 9 3 2 1 1 1 49
150 2 2 1 1 54 2 1 1 1 1 54
150 3 2 1 1 26 3 1 1 1 1 54
151 2 2 1 1 17 3 1 2 1 1 49
152 2 2 1 1 64 2 1 1 1 1 66
153 2 2 1 1 19 3 2 2 1 1 43
153 3 1 1 1 16 3 2 2 1 1 43
154 2 2 1 1 68 2 1 1 1 1 66
155 2 1 1 1 76 2 1 2 1 1 67
156 2 1 1 1 67 2 1 2 1 1 51
156 3 1 1 1 16 3 1 2 1 1 51
157 2 2 1 1 33 2 1 1 1 1 34
157 3 1 1 1 12 3 1 1 1 1 34
157 4 1 1 1 9 3 1 1 1 1 34
157 5 2 1 1 9 3 1 1 1 1 34
158 2 1 1 1 45 2 2 2 1 1 59
159 2 2 1 1 51 2 1 1 1 1 48
159 3 1 1 1 15 3 1 1 1 1 48
160 2 2 1 5 67 2 1 1 1 5 66
160 3 2 1 5 83 6 1 1 1 5 66
161 2 1 1 2 7 3 2 2 1 2 30
161 3 1 1 2 35 11 2 2 1 2 30
162 2 1 1 2 31 11 2 2 1 1 30
163 2 2 1 1 55 2 1 1 1 1 61
163 3 1 1 1 23 3 1 1 1 1 61
164 2 1 1 1 45 11 2 2 1 1 27
165 2 1 1 1 65 2 1 2 1 1 64
166 2 1 1 1 65 2 1 2 1 1 56
167 2 2 1 1 50 11 1 2 1 1 52
168 2 2 1 1 52 2 1 1 1 1 55
169 2 1 1 2 7 3 2 1 1 2 32
169 3 2 1 2 33 7 2 1 1 2 32
170 2 1 1 1 25 11 2 2 1 1 25
171 2 2 1 1 41 2 1 1 1 1 41
171 3 2 1 1 9 3 1 1 1 1 41
172 2 2 8 1 4 3 2 2 3 1 35
173 2 2 1 1 62 2 1 1 1 1 63
174 2 1 2 1 19 3 2 2 2 1 50
174 3 1 2 1 17 3 2 2 2 1 50
175 2 1 1 1 17 3 1 1 1 1 48
176 2 2 1 1 30 11 2 1 1 1 31
177 2 2 1 1 52 2 1 1 1 1 55
177 3 1 1 1 22 3 1 1 1 1 55
178 2 1 1 1 53 2 1 2 1 1 48
178 3 2 1 1 15 3 1 2 1 1 48
178 4 1 1 1 13 3 1 2 1 1 48
179 2 1 1 1 77 2 1 2 1 1 69
180 2 1 2 1 26 3 2 2 2 1 47
180 3 2 2 1 22 3 2 2 2 1 47
180 4 2 2 1 7 9 2 2 2 1 47
180 5 2 8 1 3 9 2 2 2 1 47
180 6 2 2 1 2 9 2 2 2 1 47
181 2 1 1 2 62 2 1 2 1 2 63
182 2 2 2 1 56 11 1 1 2 1 59
183 2 1 1 1 19 3 1 2 1 1 43
184 2 2 1 1 34 2 1 1 1 1 35
184 3 1 1 1 3 3 1 1 1 1 35
184 4 1 1 1 2 3 1 1 1 1 35
185 2 2 1 1 65 2 1 1 1 1 64
186 2 2 1 1 75 2 1 1 1 1 75
187 2 1 1 1 77 2 1 2 1 1 77
188 2 1 1 1 31 2 1 2 1 1 33
189 2 2 2 1 19 3 1 2 2 1 53
189 3 2 2 1 18 12 1 2 2 1 53
190 2 2 1 1 50 2 2 1 1 1 55
190 3 2 1 1 17 3 2 1 1 1 55
191 2 2 1 1 58 2 1 1 1 1 50
191 3 2 1 1 18 3 1 1 1 1 50
191 4 1 1 1 16 3 1 1 1 1 50
192 2 2 1 1 54 2 1 1 1 1 58
193 2 2 7 2 73 2 1 1 7 2 77
194 2 2 1 1 70 2 1 1 1 1 71
195 2 2 1 1 41 2 1 1 1 1 39
195 3 2 1 1 6 3 1 1 1 1 39
195 4 2 1 1 5 3 1 1 1 1 39
196 2 2 1 1 55 3 1 2 1 1 86
196 3 2 1 1 18 9 1 2 1 1 86
196 4 2 1 1 1 10 1 2 1 1 86
197 2 2 1 3 50 2 1 1 1 3 48
197 3 2 1 3 8 3 1 1 1 3 48
197 4 2 1 3 18 3 1 1 1 3 48
198 2 2 1 1 72 12 1 2 1 1 60
199 2 1 1 1 35 2 1 2 1 1 36
199 3 2 1 1 5 3 1 2 1 1 36
199 4 2 1 1 2 3 1 2 1 1 36
200 2 2 1 1 43 11 1 1 1 1 39
201 2 2 1 1 61 2 1 1 1 1 61
201 3 1 1 1 25 3 1 1 1 1 61
202 2 1 1 1 52 2 2 2 1 1 52
202 3 2 1 1 15 3 2 2 1 1 52
203 2 2 1 1 63 2 1 1 1 1 61
204 2 1 1 2 1 3 2 2 1 1 20
204 3 1 1 2 23 11 2 2 1 1 20
205 2 2 1 1 47 2 1 1 1 1 55
205 3 2 1 1 24 3 1 1 1 1 55
205 4 2 1 1 18 3 1 1 1 1 55
206 2 2 1 1 65 11 1 1 1 1 57
207 2 1 2 1 65 2 1 2 2 1 51
208 2 2 1 1 44 2 1 1 1 1 53
208 3 1 1 1 16 3 1 1 1 1 53
209 2 1 1 1 85 2 1 2 1 1 82
210 2 2 1 1 15 3 1 2 1 1 51
211 2 2 1 1 62 2 1 1 1 1 57
212 2 2 8 1 47 11 2 2 1 1 42
213 2 2 2 1 58 2 2 1 2 1 44
214 2 2 1 1 59 11 1 2 1 1 59
215 2 2 1 1 72 2 1 1 1 1 76
215 3 2 1 1 91 6 1 1 1 1 76
216 2 1 1 1 51 2 1 2 1 1 47
216 3 2 1 1 19 3 1 2 1 1 47
217 2 1 1 1 49 2 1 2 1 1 56
217 3 1 1 1 24 3 1 2 1 1 56
218 2 1 1 1 32 3 1 2 1 1 66
219 2 2 1 1 60 2 1 1 1 1 61
220 2 2 1 1 59 2 1 1 1 1 60
221 2 2 3 1 90 5 1 2 3 1 52
222 2 1 2 1 31 3 1 2 2 1 51
222 3 2 2 1 17 3 1 2 2 1 51
222 4 2 2 1 29 7 1 2 2 1 51
222 5 2 2 1 67 5 1 2 2 1 51
222 6 1 8 1 4 9 1 2 2 1 51
223 2 2 2 1 54 7 1 2 2 1 62
223 3 1 2 1 59 10 1 2 2 1 62
224 2 2 1 1 47 2 1 1 1 1 52
224 3 2 1 1 19 3 1 1 1 1 52
224 4 2 1 1 16 3 1 1 1 1 52
224 5 2 1 1 14 3 1 1 1 1 52
224 6 1 1 1 9 3 1 1 1 1 52
225 2 2 1 1 78 2 1 1 1 1 79
226 2 2 1 1 54 2 1 1 1 1 54
227 2 2 2 1 19 9 2 2 2 1 56
228 2 1 1 1 49 2 1 2 2 1 47
228 3 2 8 1 30 3 1 2 2 1 47
229 2 2 2 1 65 2 1 1 2 1 66
229 3 1 2 1 36 3 1 1 2 1 66
230 2 1 1 1 54 2 1 2 1 1 54
230 3 2 1 1 18 3 1 2 1 1 54
230 4 2 1 1 15 3 1 2 1 1 54
231 2 1 1 1 55 2 1 2 1 1 55
231 3 2 1 1 25 3 1 2 1 1 55
231 4 2 1 1 20 3 1 2 1 1 55
232 2 2 1 1 65 2 1 1 1 1 71
233 2 2 2 1 72 2 1 1 2 1 73
234 2 2 1 1 72 2 1 1 1 1 75
235 2 2 1 1 48 2 1 1 3 1 50
235 3 1 3 1 21 3 1 1 3 1 50
235 4 2 1 1 19 3 1 1 3 1 50
235 5 2 3 1 17 3 1 1 3 1 50
235 6 1 1 1 15 3 1 1 3 1 50
236 2 2 6 1 37 2 1 1 6 1 36
236 3 1 6 1 8 3 1 1 6 1 36
236 4 2 6 1 3 3 1 1 6 1 36
237 2 2 1 1 78 5 1 2 1 1 56
238 2 1 1 1 34 2 2 2 1 1 32
238 3 2 1 1 1 3 2 2 1 1 32
239 2 2 1 1 44 2 1 1 1 1 55
240 2 2 1 1 59 2 1 1 1 1 60
241 2 2 1 1 70 2 2 1 1 1 70
242 2 2 1 2 40 2 1 1 1 2 44
242 3 2 1 2 16 3 1 1 1 2 44
242 4 1 1 2 9 3 1 1 1 2 44
243 2 1 1 1 11 3 1 1 1 1 49
243 3 1 1 1 9 3 1 1 1 1 49
244 2 2 1 1 33 2 1 1 1 1 35
244 3 1 1 1 14 3 1 1 1 1 35
244 4 2 1 1 9 3 1 1 1 1 35
245 2 2 1 1 51 2 1 1 1 1 49
246 2 1 1 1 62 2 1 2 1 1 50
246 3 1 1 1 24 3 1 2 1 1 50
247 2 2 1 1 80 2 1 1 1 1 83
248 2 1 2 1 54 2 2 2 8 3 43
248 3 2 2 3 5 3 2 2 8 3 43
248 4 1 2 3 4 3 2 2 8 3 43
248 5 2 2 3 3 3 2 2 8 3 43
249 2 2 1 5 7 3 1 2 1 5 25
249 3 1 1 5 29 11 1 2 1 5 25
250 2 2 1 1 18 3 2 2 1 1 45
251 2 1 1 1 55 11 1 2 1 1 49
252 2 1 1 1 24 2 1 2 1 1 24
253 2 2 7 2 7 3 2 2 7 2 25
253 3 2 7 2 3 3 2 2 7 2 25
253 4 1 7 2 31 11 2 2 7 2 25
254 2 1 1 1 4 9 2 2 1 1 57
255 2 2 1 1 45 2 2 1 1 1 47
255 3 2 1 1 21 3 2 1 1 1 47
255 4 2 1 1 19 3 2 1 1 1 47
255 5 1 1 1 16 3 2 1 1 1 47
255 6 2 1 1 11 3 2 1 1 1 47
256 2 1 1 1 49 2 2 2 1 1 49
256 3 1 1 1 25 3 2 2 1 1 49
257 2 1 1 1 44 2 1 2 1 1 44
257 3 1 1 1 13 3 1 2 1 1 44
257 4 1 1 1 10 3 1 2 1 1 44
258 2 2 1 1 58 2 1 1 1 1 58
259 2 1 1 1 57 11 2 1 1 1 60
260 2 2 1 1 3 3 1 2 1 1 43
260 3 1 1 1 35 11 1 2 1 1 43
261 2 2 1 1 70 2 1 1 1 1 74
262 2 2 7 5 31 2 1 1 7 5 41
262 3 1 7 5 11 3 1 1 7 5 41
262 4 2 7 5 3 3 1 1 7 5 41
263 2 1 2 1 58 2 1 2 2 1 58
264 2 2 1 4 1 3 2 1 1 1 28
264 3 2 1 4 25 11 2 1 1 1 28
265 2 1 1 2 62 2 1 2 1 1 59
265 3 2 5 1 85 5 1 2 1 1 59
265 4 2 1 2 14 9 1 2 1 1 59
266 2 2 8 1 30 3 1 2 1 1 50
266 3 2 1 1 25 4 1 2 1 1 50
267 2 1 1 1 39 2 2 2 1 1 38
267 3 2 1 1 19 3 2 2 1 1 38
267 4 1 1 1 14 3 2 2 1 1 38
267 5 1 1 1 12 3 2 2 1 1 38
268 2 2 6 1 47 2 1 1 6 1 48
268 3 1 6 1 13 3 1 1 6 1 48
268 4 2 6 1 11 3 1 1 6 1 48
268 5 2 6 1 74 5 1 1 6 1 48
269 2 2 1 1 47 2 2 1 1 1 48
269 3 2 1 1 19 3 2 1 1 1 48
270 2 1 1 3 30 2 2 2 1 3 23
270 3 2 1 3 8 3 2 2 1 3 23
270 4 2 1 3 8 3 2 2 1 3 23
270 5 1 1 3 3 3 2 2 1 3 23
271 2 2 8 1 23 11 2 1 1 1 24
272 2 2 1 1 40 2 1 1 1 1 40
272 3 1 1 1 16 3 1 1 1 1 40
272 4 1 1 1 13 3 1 1 1 1 40
273 2 1 1 3 47 2 1 2 1 5 31
273 3 1 1 3 4 3 1 2 1 5 31
273 4 1 1 5 29 7 1 2 1 5 31
273 5 2 1 5 50 5 1 2 1 5 31
274 2 1 1 1 79 2 1 2 1 1 74
275 2 2 1 1 16 3 2 2 1 1 41
276 2 2 1 1 23 3 1 2 1 1 49
276 3 2 1 1 46 11 1 2 1 1 49
277 2 2 1 1 54 2 1 1 1 1 55
278 2 2 1 1 70 2 1 1 1 1 72
278 3 2 1 1 21 9 1 1 1 1 72
279 2 2 1 1 66 2 1 1 1 1 75
280 2 1 1 1 2 3 2 2 1 1 44
281 2 2 1 1 66 2 1 1 1 1 66
282 2 2 1 1 49 2 1 1 1 1 49
282 3 2 1 1 24 3 1 1 1 1 49
282 4 2 1 1 16 3 1 1 1 1 49
283 2 1 2 1 18 3 2 2 2 1 37
283 3 1 2 1 11 3 2 2 2 1 37
283 4 2 2 1 8 3 2 2 2 1 37
283 5 1 2 1 7 3 2 2 2 1 37
283 6 2 2 1 5 3 2 2 2 1 37
284 2 2 1 5 33 2 1 1 1 1 37
285 2 2 1 1 55 2 1 1 1 1 51
285 3 1 1 1 18 3 1 1 1 1 51
286 2 2 1 1 80 2 1 1 1 1 83
287 2 2 4 1 57 2 1 1 4 1 62
288 2 2 1 1 70 2 1 1 1 1 72
289 2 1 2 1 70 2 1 2 2 1 63
290 2 1 2 1 28 2 2 2 1 1 27
291 2 2 1 1 68 2 1 1 1 1 72
292 2 2 1 1 52 2 1 1 1 1 54
292 3 2 1 1 80 6 1 1 1 1 54
293 2 2 6 1 44 2 1 1 1 1 59
293 3 2 6 1 9 3 1 1 1 1 59
294 2 1 1 1 67 2 1 2 1 1 66
295 2 2 6 1 23 7 2 1 6 1 26
296 2 1 1 1 58 2 1 2 1 1 57
296 3 1 1 1 26 3 1 2 1 1 57
296 4 1 1 1 25 3 1 2 1 1 57
297 2 2 1 1 13 3 2 1 1 1 43
297 3 2 1 1 17 3 2 1 1 1 43
298 2 1 1 1 28 2 1 2 1 1 29
298 3 2 1 1 1 3 1 2 1 1 29
299 2 1 6 1 41 3 2 1 6 1 76
299 3 2 6 1 30 3 2 1 6 1 76
299 4 1 6 1 11 9 2 1 6 1 76
299 5 2 6 1 2 9 2 1 6 1 76
299 6 1 6 1 32 4 2 1 6 1 76
300 2 2 7 3 31 2 1 1 7 2 32
300 3 1 7 3 6 3 1 1 7 2 32
300 4 1 7 3 4 3 1 1 7 2 32
301 2 2 2 1 28 3 2 2 2 1 55
301 3 2 2 3 11 9 2 2 2 1 55
302 2 2 1 1 22 3 1 1 1 1 43
303 2 1 1 1 35 2 1 2 1 1 35
304 2 1 1 1 55 2 2 2 3 1 53
305 2 2 1 1 66 2 1 1 1 1 71
306 2 1 1 1 89 2 1 2 1 1 69
307 2 2 4 1 47 2 1 1 1 1 54
307 3 1 8 1 12 3 1 1 1 1 54
307 4 2 8 1 10 3 1 1 1 1 54
308 2 1 1 1 54 2 1 2 1 1 57
